# ATOM = 2 (spec = C )
# NDIV =     2000 dE=      0.01500750
#    energy (ev)        dos_total           orb-1            orb-2            orb-3            orb-4
    -14.86743372       0.16701813      0.11364554       0.02668555       0.02668704       0.00000000
    -14.85242621       0.16722626      0.11372451       0.02675012       0.02675163       0.00000000
    -14.83741871       0.16757271      0.11389601       0.02683763       0.02683907       0.00000000
    -14.82241121       0.16800691      0.11412802       0.02693878       0.02694011       0.00000000
    -14.80740370       0.16845234      0.11437139       0.02703989       0.02704106       0.00000000
    -14.79239620       0.16882971      0.11457483       0.02712695       0.02712793       0.00000000
    -14.77738869       0.16908130      0.11470065       0.02718993       0.02719072       0.00000000
    -14.76238119       0.16918896      0.11473648       0.02722593       0.02722656       0.00000000
    -14.74737369       0.16918036      0.11469946       0.02724019       0.02724070       0.00000000
    -14.73236618       0.16912131      0.11463151       0.02724468       0.02724511       0.00000000
    -14.71735868       0.16909657      0.11458707       0.02725455       0.02725496       0.00000000
    -14.70235118       0.16918472      0.11461697       0.02728366       0.02728409       0.00000000
    -14.68734367       0.16943456      0.11475329       0.02734040       0.02734087       0.00000000
    -14.67233617       0.16985022      0.11499963       0.02742504       0.02742555       0.00000000
    -14.65732866       0.17038948      0.11532988       0.02752953       0.02753007       0.00000000
