# ATOM = 1 (spec = C )
# NDIV =     2000 dE=      0.01500750
#    energy (ev)        dos_total           orb-1            orb-2            orb-3            orb-4
    -14.98749375       0.16637857      0.11373810       0.02632023       0.02632023       0.00000000
    -14.97248624       0.16652310      0.11376369       0.02637971       0.02637971       0.00000000
    -14.95747874       0.16666486      0.11378944       0.02643771       0.02643771       0.00000000
    -14.94247124       0.16680091      0.11381339       0.02649376       0.02649376       0.00000000
    -14.92746373       0.16693139      0.11383559       0.02654790       0.02654790       0.00000000
    -14.91245623       0.16705972      0.11385823       0.02660075       0.02660075       0.00000000
    -14.89744872       0.16719162      0.11388504       0.02665329       0.02665329       0.00000000
    -14.88244122       0.16733349      0.11392028       0.02670661       0.02670661       0.00000000
    -14.86743372       0.16749053      0.11396743       0.02676155       0.02676155       0.00000000
    -14.85242621       0.16766511      0.11402820       0.02681845       0.02681845       0.00000000
    -14.83741871       0.16785607      0.11410204       0.02687702       0.02687702       0.00000000
    -14.82241121       0.16805905      0.11418627       0.02693639       0.02693639       0.00000000
    -14.80740370       0.16826784      0.11427700       0.02699542       0.02699542       0.00000000
    -14.79239620       0.16847633      0.11437034       0.02705300       0.02705300       0.00000000
    -14.77738869       0.16868051      0.11446370       0.02710840       0.02710840       0.00000000
    -14.76238119       0.16887985      0.11455676       0.02716155       0.02716155       0.00000000
    -14.74737369       0.16907771      0.11465166       0.02721303       0.02721303       0.00000000
    -14.73236618       0.16928055      0.11475260       0.02726398       0.02726398       0.00000000
    -14.71735868       0.16949619      0.11486473       0.02731573       0.02731573       0.00000000
    -14.70235118       0.16973162      0.11499271       0.02736946       0.02736946       0.00000000
    -14.68734367       0.16999108      0.11513951       0.02742578       0.02742578       0.00000000
    -14.67233617       0.17027484      0.11530559       0.02748463       0.02748463       0.00000000
    -14.65732866       0.17057923      0.11548885       0.02754519       0.02754519       0.00000000
